  80952.00,      0.00,      3.00,      2.00,     59.00,  10795.00,   1019.00,   1029.00,   7630.00,    221.00,41427250.00,     19.00,   9582.00
  75331.00,      1.00,      2.00,      3.00,    188.00,  11134.00,    919.00,    851.00,   2190.00,    298.00,85665341.00,      3.00,   9324.00
  78700.00,      0.00,      3.00,      4.00,    218.00,  10989.00,   1122.00,   1040.00,    735.00,    352.00,93349597.00,     26.00,   9346.00
  81604.00,      1.00,      2.00,      3.00,     39.00,  10394.00,   1111.00,   1000.00,  14384.00,    339.00,  21834.00,  77643.00,   9662.00
  80520.00,      0.00,      1.00,      2.00,    273.00,  10377.00,   1411.00,    817.00,   7154.00,    171.00, 145584.00, 211274.00,   9081.00
  78577.00,      0.00,      3.00,      4.00,    301.00,  11238.00,   1195.00,   1049.00,   8154.00,    120.00, 108783.00,     23.00,   9363.00
  79811.00,      1.00,      2.00,      3.00,    178.00,  11304.00,   1258.00,   1082.00,   9460.00,    175.00,12701568.00,  18708.00,   9374.00
  79379.00,      0.00,      2.00,      2.00,    313.00,  10886.00,    862.00,   1010.00,   4648.00,    156.00, 112248.00, 131661.00,   9652.00
  85541.00,      1.00,      2.00,      4.00,    103.00,  10571.00,   1285.00,   1028.00,   7473.00,    338.00,78341268.00,     60.00,   9039.00
  78027.00,      0.00,      3.00,      2.00,    324.00,  10917.00,   1211.00,    979.00,   7950.00,     51.00, 152809.00,     52.00,   9307.00
  79621.00,      0.00,      3.00,      4.00,     90.00,  10838.00,    982.00,   1001.00,   2490.00,    236.00, 249869.00,  54677.00,   9740.00
  78005.00,      0.00,      3.00,      2.00,     84.00,  10070.00,   1261.00,   1073.00,   4761.00,    294.00,55410984.00,   6757.00,   8998.00
  85097.00,      0.00,      3.00,      4.00,      6.00,  11697.00,   1136.00,   1030.00,   8035.00,    257.00,61271153.00,   3835.00,   9742.00
  80594.00,      0.00,      1.00,      1.00,     87.00,  10338.00,   1171.00,    930.00,  14837.00,    338.00, 124435.00,  67160.00,   9020.00
